"Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"SLC 117","Fox",2021-12-30 07:22:56,2021-12-30,"07:22:56",611668,10194.5,169.9,7.1,"Data-21-22/SLC 117/Fox","IMG_0023.AVI",1
"SLC 117","Fox",2022-01-10 14:40:20,2022-01-10,"14:40:20",976644,16277.4,271.3,11.3,"Data-21-22/SLC 117/Fox","IMG_0027.AVI",1
"SLC 117","Fox",2022-01-20 05:23:08,2022-01-20,"05:23:08",830568,13842.8,230.7,9.6,"Data-21-22/SLC 117/Fox","IMG_0029.AVI",1
"SLC 117","Fox",2022-01-24 11:04:10,2022-01-24,"11:04:10",366062,6101,101.7,4.2,"Data-21-22/SLC 117/Fox","IMG_0031.AVI",2
"SLC 117","Fox",2022-01-24 12:06:32,2022-01-24,"12:06:32",3742,62.4,1,0,"Data-21-22/SLC 117/Fox","IMG_0033.AVI",2
"SLC 117","Fox",2022-01-26 08:02:02,2022-01-26,"08:02:02",158130,2635.5,43.9,1.8,"Data-21-22/SLC 117/Fox","IMG_0036.AVI",2
"SLC 117","Fox",2022-01-30 08:45:52,2022-01-30,"08:45:52",348230,5803.8,96.7,4,"Data-21-22/SLC 117/Fox","IMG_0038.AVI",2
"SLC 117","Fox",2022-01-31 16:17:56,2022-01-31,"16:17:56",113524,1892.1,31.5,1.3,"Data-21-22/SLC 117/Fox","IMG_0041.AVI",2
"SLC 117","Fox",2022-02-03 16:50:44,2022-02-03,"16:50:44",261168,4352.8,72.5,3,"Data-21-22/SLC 117/Fox","IMG_0043.AVI",2
"SLC 117","Fox",2022-02-04 05:36:20,2022-02-04,"05:36:20",45936,765.6,12.8,0.5,"Data-21-22/SLC 117/Fox","IMG_0045.AVI",1
"SLC 117","Fox",2022-02-13 06:53:34,2022-02-13,"06:53:34",782234,13037.2,217.3,9.1,"Data-21-22/SLC 117/Fox","IMG_0046.AVI",1
"SLC 117","Ibex",2021-11-20 21:42:48,2021-11-20,"21:42:48",0,0,0,0,"Data-21-22/SLC 117/Ibex","IMG_0005.AVI",3
"SLC 117","Other",2021-12-27 20:36:06,2021-12-27,"20:36:06",0,0,0,0,"Data-21-22/SLC 117/Other","IMG_0022.AVI",1
"SLC 117","Other",2022-02-20 20:28:30,2022-02-20,"20:28:30",4751544,79192.4,1319.9,55,"Data-21-22/SLC 117/Other","IMG_0047.AVI",4
"SLC 117","Snow Leopard",2021-11-21 03:26:46,2021-11-21,"03:26:46",0,0,0,0,"Data-21-22/SLC 117/Snow Leopard","IMG_0009.AVI",1
"SLC 117 Krabathang","Ibex",2022-03-29 18:54:14,2022-03-29,"18:54:14",0,0,0,0,"Data-21-22/SLC 117 Krabathang/Ibex","IMG_0005.AVI",2
"SLC 117 Krabathang","Ibex",2022-03-29 22:06:36,2022-03-29,"22:06:36",11542,192.4,3.2,0.1,"Data-21-22/SLC 117 Krabathang/Ibex","IMG_0007.AVI",1
"SLC 117 Krabathang","Ibex",2022-04-09 10:59:26,2022-04-09,"10:59:26",910370,15172.8,252.9,10.5,"Data-21-22/SLC 117 Krabathang/Ibex","IMG_0008.AVI",3
"SLC 117 Krabathang","Ibex",2022-04-09 11:38:38,2022-04-09,"11:38:38",2352,39.2,0.7,0,"Data-21-22/SLC 117 Krabathang/Ibex","IMG_0011.AVI",1
"SLC 117 Krabathang","Ibex",2022-04-10 09:26:56,2022-04-10,"09:26:56",78498,1308.3,21.8,0.9,"Data-21-22/SLC 117 Krabathang/Ibex","IMG_0012.AVI",2
"SLC 117 Krabathang","Ibex",2022-04-19 03:03:06,2022-04-19,"03:03:06",754570,12576.2,209.6,8.7,"Data-21-22/SLC 117 Krabathang/Ibex","IMG_0017.AVI",1
"SLC 117 Krabathang","Ibex",2022-04-23 04:04:46,2022-04-23,"04:04:46",349300,5821.7,97,4,"Data-21-22/SLC 117 Krabathang/Ibex","IMG_0019.AVI",1
"SLC 117 Krabathang","Other",2022-03-23 21:26:56,2022-03-23,"21:26:56",0,0,0,0,"Data-21-22/SLC 117 Krabathang/Other","IMG_0004.AVI",1
"SLC 117 Krabathang","Other",2022-04-10 22:01:34,2022-04-10,"22:01:34",1557278,25954.6,432.6,18,"Data-21-22/SLC 117 Krabathang/Other","IMG_0014.AVI",1
"SLC 118","Fox",2021-11-25 08:23:10,2021-11-25,"08:23:10",0,0,0,0,"Data-21-22/SLC 118/Fox","IMG_0011.AVI",1
"SLC 118","Fox",2022-01-11 13:38:18,2022-01-11,"13:38:18",4079708,67995.1,1133.3,47.2,"Data-21-22/SLC 118/Fox","IMG_0050.AVI",1
"SLC 118","Ibex",2021-12-02 01:57:26,2021-12-02,"01:57:26",0,0,0,0,"Data-21-22/SLC 118/Ibex","IMG_0014.AVI",1
"SLC 118","Ibex",2021-12-08 15:39:16,2021-12-08,"15:39:16",567710,9461.8,157.7,6.6,"Data-21-22/SLC 118/Ibex","IMG_0017.AVI",1
"SLC 118","Ibex",2022-01-04 01:51:10,2022-01-04,"01:51:10",2283114,38051.9,634.2,26.4,"Data-21-22/SLC 118/Ibex","IMG_0039.AVI",4
"SLC 118","Ibex",2022-02-11 03:35:18,2022-02-11,"03:35:18",3289448,54824.1,913.7,38.1,"Data-21-22/SLC 118/Ibex","IMG_0053.AVI",2
"SLC 118","Ibex",2022-02-17 19:16:00,2022-02-17,"19:16:00",574842,9580.7,159.7,6.7,"Data-21-22/SLC 118/Ibex","IMG_0055.AVI",1
"SLC 118","Markhor",2021-11-26 03:06:16,2021-11-26,"03:06:16",0,0,0,0,"Data-21-22/SLC 118/Markhor","IMG_0012.AVI",1
"SLC 118","Markhor",2021-12-02 01:58:28,2021-12-02,"01:58:28",514332,8572.2,142.9,6,"Data-21-22/SLC 118/Markhor","IMG_0015.AVI",1
"SLC 118","Markhor",2021-12-11 22:09:22,2021-12-11,"22:09:22",850254,14170.9,236.2,9.8,"Data-21-22/SLC 118/Markhor","IMG_0018.AVI",1
