"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"74","SLC 118-Krabathang-Chotok katpa","Markhor","2021-12-31 21:45:58","2021-12-31","21:45:58",1278196,21303.3,355.1,14.8,"Data-21-22/SLC 118-Krabathang-Chotok katpa/Markhor","IMG_0036.AVI",2
"75","SLC 118-Krabathang-Chotok katpa","Markhor","2022-01-04 01:33:22","2022-01-04","01:33:22",272844,4547.4,75.8,3.2,"Data-21-22/SLC 118-Krabathang-Chotok katpa/Markhor","IMG_0038.AVI",1
"76","SLC 118-Krabathang-Chotok katpa","Markhor","2022-01-04 03:24:40","2022-01-04","03:24:40",6678,111.3,1.9,0.1,"Data-21-22/SLC 118-Krabathang-Chotok katpa/Markhor","IMG_0043.AVI",2
"77","SLC 118-Krabathang-Chotok katpa","Markhor","2022-01-04 18:49:16","2022-01-04","18:49:16",55476,924.6,15.4,0.6,"Data-21-22/SLC 118-Krabathang-Chotok katpa/Markhor","IMG_0045.AVI",1
"78","SLC 118-Krabathang-Chotok katpa","Markhor","2022-01-05 20:04:24","2022-01-05","20:04:24",90908,1515.1,25.3,1.1,"Data-21-22/SLC 118-Krabathang-Chotok katpa/Markhor","IMG_0046.AVI",2
"79","SLC 118-Krabathang-Chotok katpa","Markhor","2022-01-20 22:26:16","2022-01-20","22:26:16",1304512,21741.9,362.4,15.1,"Data-21-22/SLC 118-Krabathang-Chotok katpa/Markhor","IMG_0051.AVI",1
"80","SLC 118-Krabathang-Chotok katpa","Markhor","2022-02-02 21:06:38","2022-02-02","21:06:38",1118422,18640.4,310.7,12.9,"Data-21-22/SLC 118-Krabathang-Chotok katpa/Markhor","IMG_0052.AVI",1
"81","SLC 118-Krabathang-Chotok katpa","Markhor","2022-02-18 19:45:56","2022-02-18","19:45:56",1377558,22959.3,382.7,15.9,"Data-21-22/SLC 118-Krabathang-Chotok katpa/Markhor","IMG_0056.AVI",1
"86","SLC 118-Krabathang-Khalngfafpa","Ibex","2022-03-11 18:59:46","2022-03-11","18:59:46",0,0,0,0,"Data-21-22/SLC 118-Krabathang-Khalngfafpa/Ibex","IMG_0008.AVI",1
"87","SLC 118-Krabathang-Khalngfafpa","Ibex","2022-03-24 04:03:26","2022-03-24","04:03:26",1069420,17823.7,297.1,12.4,"Data-21-22/SLC 118-Krabathang-Khalngfafpa/Ibex","IMG_0013.AVI",3
